zpid,rawHomeStatusCd,marketingStatusSimplifiedCd,imgSrc,hasImage,detailUrl,statusType,statusText,price,priceLabel,address,beds,baths,area,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,listingType,isFavorite,visited,info3String,brokerName,timeOnZillow,latLong.latitude,latLong.longitude,hdpData.homeInfo.zpid,hdpData.homeInfo.streetAddress,hdpData.homeInfo.zipcode,hdpData.homeInfo.city,hdpData.homeInfo.state,hdpData.homeInfo.latitude,hdpData.homeInfo.longitude,hdpData.homeInfo.price,hdpData.homeInfo.bathrooms,hdpData.homeInfo.bedrooms,hdpData.homeInfo.livingArea,hdpData.homeInfo.homeType,hdpData.homeInfo.homeStatus,hdpData.homeInfo.daysOnZillow,hdpData.homeInfo.isFeatured,hdpData.homeInfo.shouldHighlight,hdpData.homeInfo.listing_sub_type.is_FSBA,hdpData.homeInfo.isUnmappable,hdpData.homeInfo.isPreforeclosureAuction,hdpData.homeInfo.homeStatusForHDP,hdpData.homeInfo.priceForHDP,hdpData.homeInfo.timeOnZillow,hdpData.homeInfo.isNonOwnerOccupied,hdpData.homeInfo.isPremierBuilder,hdpData.homeInfo.isZillowOwned,hdpData.homeInfo.currency,hdpData.homeInfo.country,hdpData.homeInfo.taxAssessedValue,hdpData.homeInfo.lotAreaValue,hdpData.homeInfo.lotAreaUnit,hdpData.homeInfo.isShowcaseListing,hdpData.homeInfo.zestimate,hdpData.homeInfo.rentZestimate,hdpData.homeInfo.unit,hdpData.homeInfo.listing_sub_type.is_openHouse,hdpData.homeInfo.openHouse,hdpData.homeInfo.open_house_info.open_house_showing,hdpData.homeInfo.datePriceChanged,hdpData.homeInfo.priceChange,hdpData.homeInfo.priceReduction,hdpData.homeInfo.videoCount,minBeds,minBaths,minArea,buildingId,isBuilding,canSaveBuilding,unitCount,lotId,badgeInfo.type,badgeInfo.text,hdpData.homeInfo.listing_sub_type.is_newHome,hdpData.homeInfo.newConstructionType,availabilityDate,lotAreaString,info2String,streetViewURL,streetViewMetadataURL,buildingName,flexFieldText,flexFieldType,plid,communityName,builderName,isCdpResult,isComingSoonCommunity,hdpData.homeInfo.listing_sub_type.is_bankOwned,hdpData.homeInfo.providerListingID,style,isNewYorkState,hdpData.homeInfo.listing_sub_type.is_comingSoon,hdpData.homeInfo.listing_sub_type.is_FSBO,hdpData.homeInfo.isRentalWithBasePrice,hdpData.homeInfo.listing_sub_type.is_forAuction
82336509,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/d8209fd49f589afd67b0d9599d6869ee-p_e.jpg,True,/homedetails/6637-SE-78th-Ave-Portland-OR-97206/82336509_zpid/,FOR_SALE,Active,"$500,000",$500K,"6637 SE 78th Ave, Portland, OR 97206",3.0,2.0,2064.0,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,True,,False,False,https://photos.zillowstatic.com/fp/53950349e40fb6dbfa60c0e2b93ad35b-zillow_web_48_23.jpg,Opt,462483000.0,45.47466,-122.58326,82336509.0,6637 SE 78th Ave,97206,Portland,OR,45.47466,-122.58326,500000.0,2.0,3.0,2064.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,500000.0,462483000.0,True,False,False,USD,USA,405700.0,3049.2,sqft,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53972561,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/1360752d38785a4b840c20bc6890c5c4-p_e.jpg,True,/homedetails/7212-SE-118th-Pl-Portland-OR-97266/53972561_zpid/,FOR_SALE,Active,"$550,000",$550K,"7212 SE 118th Pl, Portland, OR 97266",3.0,2.0,2230.0,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/53950349e40fb6dbfa60c0e2b93ad35b-zillow_web_48_23.jpg,Lovejoy Real Estate,635283000.0,45.47077,-122.54139,53972561.0,7212 SE 118th Pl,97266,Portland,OR,45.47077,-122.54139,550000.0,2.0,3.0,2230.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,550000.0,635283000.0,True,False,False,USD,USA,464840.0,0.32999999999999996,acres,False,550200.0,3125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2061346223,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/f5d365f87fef3b86d20c64da437d82cd-p_e.jpg,True,/homedetails/2915-NE-Marine-Dr-A-8-Portland-OR-97211/2061346223_zpid/,FOR_SALE,Active,"$185,000",$185K,"2915 NE Marine Dr #A-8, Portland, OR 97211",1.0,1.0,1152.0,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/53950349e40fb6dbfa60c0e2b93ad35b-zillow_web_48_23.jpg,Works Real Estate,4264083000.0,45.600574,-122.63492,2061346223.0,2915 NE Marine Dr #A-8,97211,Portland,OR,45.600574,-122.63492,185000.0,1.0,1.0,1152.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,185000.0,4264083000.0,True,False,False,USD,USA,,,,False,173500.0,1898.0,# A-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53965647,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/d88ef9a143c2f8fa2e3f520b5761c940-p_e.jpg,True,/homedetails/2104-NE-57th-Ave-Portland-OR-97213/53965647_zpid/,FOR_SALE,Active,"$499,900",$500K,"2104 NE 57th Ave, Portland, OR 97213",3.0,2.0,1422.0,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/53950349e40fb6dbfa60c0e2b93ad35b-zillow_web_48_23.jpg,Wise Move Real Estate,462483000.0,45.537838,-122.60442,53965647.0,2104 NE 57th Ave,97213,Portland,OR,45.537838,-122.60442,499900.0,2.0,3.0,1422.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,499900.0,462483000.0,True,False,False,USD,USA,403180.0,2613.6,sqft,False,,,,True,Sat. 1-3pm,"[{'open_house_start': 1726948800000, 'open_house_end': 1726956000000}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53965682,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/7ecbdeb22edbc0c6ca9f34c77b3e12ee-p_e.jpg,True,/homedetails/2754-SE-174th-Ave-Portland-OR-97236/53965682_zpid/,FOR_SALE,Active,"$390,000",$390K,"2754 SE 174th Ave, Portland, OR 97236",3.0,2.0,1280.0,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,True,,False,False,https://photos.zillowstatic.com/fp/53950349e40fb6dbfa60c0e2b93ad35b-zillow_web_48_23.jpg,Real Broker,7028883000.0,45.502213,-122.484344,53965682.0,2754 SE 174th Ave,97236,Portland,OR,45.502213,-122.484344,390000.0,2.0,3.0,1280.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,390000.0,7028883000.0,True,False,False,USD,USA,343910.0,8276.4,sqft,True,,,,,,,1723878000000.0,1050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53883035,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/d34bb7481334f7eec2a6badc80355785-p_e.jpg,True,/homedetails/10750-SW-Boones-Ferry-Rd-Portland-OR-97219/53883035_zpid/,FOR_SALE,Active,"$750,000",$750K,"10750 SW Boones Ferry Rd, Portland, OR 97219",3.0,2.0,2067.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/53950349e40fb6dbfa60c0e2b93ad35b-zillow_web_48_23.jpg,Redfin,462483000.0,45.44708,-122.686264,53883035.0,10750 SW Boones Ferry Rd,97219,Portland,OR,45.44708,-122.686264,750000.0,2.0,3.0,2067.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,750000.0,462483000.0,True,False,False,USD,USA,751490.0,1.15,acres,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53856956,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/37ee2a103eb9839792db8270dab00a26-p_e.jpg,True,/homedetails/4004-SE-Yamhill-St-Portland-OR-97214/53856956_zpid/,FOR_SALE,Active,"$1,099,900",$1.10M,"4004 SE Yamhill St, Portland, OR 97214",4.0,3.0,4304.0,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,True,,False,False,https://photos.zillowstatic.com/fp/53950349e40fb6dbfa60c0e2b93ad35b-zillow_web_48_23.jpg,Windermere Realty Trust,11435283000.0,45.515625,-122.62116,53856956.0,4004 SE Yamhill St,97214,Portland,OR,45.515625,-122.62116,1099900.0,3.0,4.0,4304.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,1099900.0,11435283000.0,True,False,False,USD,USA,1111930.0,5662.8,sqft,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53970562,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/267cb1592bcc133e4816fd02e5774d0f-p_e.jpg,True,/homedetails/16530-SE-Mill-St-Portland-OR-97233/53970562_zpid/,FOR_SALE,Active,"$339,950",$340K,"16530 SE Mill St, Portland, OR 97233",3.0,2.0,1088.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/53950349e40fb6dbfa60c0e2b93ad35b-zillow_web_48_23.jpg,Hustle & Heart Homes,548883000.0,45.510227,-122.49308,53970562.0,16530 SE Mill St,97233,Portland,OR,45.510227,-122.49308,339950.0,2.0,3.0,1088.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,339950.0,548883000.0,True,False,False,USD,USA,370030.0,10018.8,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53811153,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/20018568490a41a8eeaf36c9ad5f1043-p_e.jpg,True,/homedetails/3515-SW-Barbur-Blvd-APT-N3-Portland-OR-97239/53811153_zpid/,FOR_SALE,Active,"$332,000",$332K,"3515 SW Barbur Blvd APT N3, Portland, OR 97239",1.0,1.0,675.0,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,True,,False,False,https://photos.zillowstatic.com/fp/53950349e40fb6dbfa60c0e2b93ad35b-zillow_web_48_23.jpg,Works Real Estate,548883000.0,45.497135,-122.679634,53811153.0,3515 SW Barbur Blvd APT N3,97239,Portland,OR,45.497135,-122.679634,332000.0,1.0,1.0,675.0,CONDO,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,332000.0,548883000.0,True,False,False,USD,USA,270870.0,,,True,324700.0,1604.0,Apt N3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53846466,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/f32c1ca049f6da227d568bd66eceea65-p_e.jpg,True,/homedetails/3929-SW-Council-Crest-Dr-Portland-OR-97239/53846466_zpid/,FOR_SALE,Active,"$829,000",$829K,"3929 SW Council Crest Dr, Portland, OR 97239",4.0,3.0,3302.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/53950349e40fb6dbfa60c0e2b93ad35b-zillow_web_48_23.jpg,Windermere Realty Trust,376083000.0,45.49493,-122.70259,53846466.0,3929 SW Council Crest Dr,97239,Portland,OR,45.49493,-122.70259,829000.0,3.0,4.0,3302.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,829000.0,376083000.0,True,False,False,USD,USA,817750.0,0.25,acres,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
